collection;nom_excel;titre_page;nom_carte;source;a_verifier
Jeux video cultes;The Legend of Zelda: A Link to the Past;The Legend of Zelda: A Link to the Past;The Legend of Zelda: A Link to the Past;wikipedia;
Jeux video cultes;Chrono Trigger;Chrono Trigger;Chrono Trigger;wikipedia;
Jeux video cultes;Final Fantasy VI;Final Fantasy VI;Final Fantasy VI;wikipedia;
Jeux video cultes;Prince of Persia;Prince of Persia;Prince of Persia;wikipedia;
Jeux video cultes;Maniac Mansion;Maniac Mansion;Maniac Mansion;wikipedia;
Jeux video cultes;SimCity;SimCity;SimCity;wikipedia;
Jeux video cultes;Myst;Myst;Myst;wikipedia;
Jeux video cultes;Doom (jeu video);Doom (jeu vidéo, 1993);Doom;excel-brut;X
Jeux video cultes;Wolfenstein 3D;Wolfenstein 3D;Wolfenstein 3D;wikipedia;
Jeux video cultes;Civilization;Civilization (jeu vidéo);Civilization;wikipedia;
Jeux video cultes;Warcraft II;Warcraft II: Tides of Darkness;Warcraft II;excel-brut;X
Jeux video cultes;Command & Conquer;Command and Conquer;Command & Conquer;excel-brut;X
Jeux video cultes;Final Fantasy VII;Final Fantasy VII;Final Fantasy VII;wikipedia;
Jeux video cultes;Super Mario 64;Super Mario 64;Super Mario 64;wikipedia;
Jeux video cultes;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Ocarina of Time;wikipedia;
Jeux video cultes;GoldenEye 007;GoldenEye 007;GoldenEye 007;wikipedia;
Jeux video cultes;Resident Evil;Resident Evil;Resident Evil;wikipedia;
Jeux video cultes;Metal Gear Solid;Metal Gear Solid;Metal Gear Solid;wikipedia;
Jeux video cultes;Half-Life;Half-Life;Half-Life;wikipedia;
Jeux video cultes;StarCraft;StarCraft;StarCraft;wikipedia;
Jeux video cultes;Diablo;Diablo (jeu vidéo);Diablo;wikipedia;
Jeux video cultes;Pokemon Rouge/Bleu;Pokémon Rouge et Bleu;Pokémon Rouge/Bleu;accents-restaures;
Jeux video cultes;Tomb Raider;Tomb Raider;Tomb Raider;wikipedia;
Jeux video cultes;Crash Bandicoot;Crash Bandicoot;Crash Bandicoot;wikipedia;
Jeux video cultes;Spyro the Dragon;Spyro the Dragon;Spyro the Dragon;wikipedia;
Jeux video cultes;Age of Empires;Age of Empires (jeu vidéo);Age of Empires;wikipedia;
Jeux video cultes;Halo: Combat Evolved;Halo: Combat Evolved;Halo: Combat Evolved;wikipedia;
Jeux video cultes;Grand Theft Auto: San Andreas;Grand Theft Auto: San Andreas;Grand Theft Auto: San Andreas;wikipedia;
Jeux video cultes;World of Warcraft;World of Warcraft;World of Warcraft;wikipedia;
Jeux video cultes;The Sims;Les Sims;The Sims;excel-brut;X
Jeux video cultes;Half-Life 2;Half-Life 2;Half-Life 2;wikipedia;
Jeux video cultes;Shadow of the Colossus;Shadow of the Colossus;Shadow of the Colossus;wikipedia;
Jeux video cultes;God of War;God of War;God of War;wikipedia;
Jeux video cultes;Resident Evil 4;Resident Evil 4;Resident Evil 4;wikipedia;
Jeux video cultes;Portal (jeu video);Portal (jeu vidéo);Portal;wikipedia;
Jeux video cultes;BioShock;BioShock;BioShock;wikipedia;
Jeux video cultes;Call of Duty 4: Modern Warfare;Call of Duty 4: Modern Warfare;Call of Duty 4: Modern Warfare;wikipedia;
Jeux video cultes;The Elder Scrolls IV: Oblivion;The Elder Scrolls IV: Oblivion;The Elder Scrolls IV: Oblivion;wikipedia;
Jeux video cultes;Guitar Hero;Guitar Hero (série de jeux vidéo);Guitar Hero;wikipedia;
Jeux video cultes;Katamari Damacy;Katamari Damacy;Katamari Damacy;wikipedia;
Jeux video cultes;Ico (jeu video);Ico (jeu vidéo);Ico;wikipedia;
Jeux video cultes;Minecraft;Minecraft;Minecraft;wikipedia;
Jeux video cultes;Dark Souls;Dark Souls;Dark Souls;wikipedia;
Jeux video cultes;The Witcher 3;The Witcher 3: Wild Hunt;The Witcher 3;excel-brut;X
Jeux video cultes;The Elder Scrolls V: Skyrim;The Elder Scrolls V: Skyrim;The Elder Scrolls V: Skyrim;wikipedia;
Jeux video cultes;Portal 2;Portal 2;Portal 2;wikipedia;
Jeux video cultes;Journey (jeu video);Journey (jeu vidéo, 2012);Journey;excel-brut;X
Jeux video cultes;The Last of Us;The Last of Us;The Last of Us;wikipedia;
Jeux video cultes;Undertale;Undertale;Undertale;wikipedia;
Jeux video cultes;Overwatch;Overwatch;Overwatch;wikipedia;
Jeux video cultes;Fortnite;Fortnite;Fortnite;wikipedia;
Jeux video cultes;League of Legends;League of Legends;League of Legends;wikipedia;
Jeux video cultes;Dota 2;Dota 2;Dota 2;wikipedia;
Jeux video cultes;Stardew Valley;Stardew Valley;Stardew Valley;wikipedia;
Jeux video cultes;Celeste (jeu video);Celeste (jeu vidéo);Celeste;wikipedia;
Jeux video cultes;Hollow Knight;Hollow Knight;Hollow Knight;wikipedia;
Jeux video cultes;The Legend of Zelda: Breath of the Wild;The Legend of Zelda: Breath of the Wild;The Legend of Zelda: Breath of the Wild;wikipedia;
Jeux video cultes;Red Dead Redemption 2;Red Dead Redemption II;Red Dead Redemption 2;excel-brut;X
Jeux video cultes;God of War (2018);God of War (jeu vidéo, 2018);God of War 2018;utilisateur;
Jeux video cultes;Cuphead;Cuphead;Cuphead;wikipedia;
Jeux video cultes;Dishonored;Dishonored;Dishonored;wikipedia;
Jeux video cultes;Bloodborne;Bloodborne;Bloodborne;wikipedia;
Jeux video cultes;Elden Ring;Elden Ring;Elden Ring;wikipedia;
Jeux video cultes;Baldur's Gate 3;Baldur's Gate III;Baldur's Gate 3;excel-brut;X
Jeux video cultes;Hades;Hades (jeu vidéo);Hades;wikipedia;
Jeux video cultes;Outer Wilds;Outer Wilds;Outer Wilds;wikipedia;
Jeux video cultes;Disco Elysium;Disco Elysium;Disco Elysium;wikipedia;
Jeux video cultes;Among Us;Among Us;Among Us;wikipedia;
Jeux video cultes;Animal Crossing: New Horizons;Animal Crossing: New Horizons;Animal Crossing: New Horizons;wikipedia;
Jeux video cultes;It Takes Two (jeu video);It Takes Two (jeu vidéo);It Takes Two;wikipedia;
Jeux video cultes;Hades II;Hades II;Hades II;wikipedia;
Jeux video cultes;Balatro;Balatro;Balatro;wikipedia;
Jeux video cultes;No Man's Sky;No Man's Sky;No Man's Sky;wikipedia;
Films cultes;Le Voyage dans la Lune;Le Voyage dans la Lune;Voyage dans la Lune;wikipedia;
Films cultes;Naissance d'une nation;Naissance d'une nation;Naissance d'une nation;wikipedia;
Films cultes;Nosferatu;Nosferatu (film, 2024);Nosferatu;wikipedia;
Films cultes;Metropolis (film);Metropolis (film, 1927);Metropolis;excel-brut;X
Films cultes;Le Cuirasse Potemkine;Le Cuirassé Potemkine;Cuirassé Potemkine;wikipedia;
Films cultes;La Ruee vers l'or;La Ruée vers l'or;Ruée vers l'or;wikipedia;
Films cultes;Les Temps modernes;Les Temps modernes (film);Temps modernes;wikipedia;
Films cultes;Le Kid;Le Kid;Kid;wikipedia;
Films cultes;King Kong;King Kong;King Kong;wikipedia;
Films cultes;Autant en emporte le vent;Autant en emporte le vent (film);Autant en emporte le vent;wikipedia;
Films cultes;Le Magicien d'Oz;Le Magicien d'Oz (film, 1939);Magicien d'Oz;wikipedia;
Films cultes;Citizen Kane;Citizen Kane;Citizen Kane;wikipedia;
Films cultes;Casablanca;Casablanca (film);Casablanca;wikipedia;
Films cultes;La Vie est belle;La vie est belle (film, 1946);Vie est belle;wikipedia;
Films cultes;Sunset Boulevard;Boulevard du crépuscule;Sunset Boulevard;excel-brut;X
Films cultes;Chantons sous la pluie;Chantons sous la pluie;Chantons sous la pluie;wikipedia;
Films cultes;Fenetre sur cour;Fenêtre sur cour;Fenêtre sur cour;wikipedia;
Films cultes;Vertigo;Sueurs froides;Vertigo;excel-brut;X
Films cultes;Douze Hommes en colere;Douze Hommes en colère (film);Douze Hommes en colère;wikipedia;
Films cultes;Certains l'aiment chaud;Certains l'aiment chaud;Certains l'aiment chaud;wikipedia;
Films cultes;A bout de souffle;À bout de souffle;À bout de souffle;wikipedia;
Films cultes;Psychose (film, 1960);Psychose (film);Psychose;excel-brut;X
Films cultes;Lawrence d'Arabie;Lawrence d'Arabie (film);Lawrence d'Arabie;wikipedia;
Films cultes;2001 l'Odyssee de l'espace;2001, l'Odyssée de l'espace;2001, l'Odyssée de l'espace;wikipedia;
Films cultes;Le Bon la Brute et le Truand;Le Bon, la Brute et le Truand;Bon, la Brute et le Truand;wikipedia;
Films cultes;La Grande Vadrouille;La Grande Vadrouille;Grande Vadrouille;wikipedia;
Films cultes;Bonnie and Clyde;Bonnie and Clyde (chanson);Bonnie and Clyde;wikipedia;
Films cultes;Le Parrain;Le Parrain (film);Parrain;wikipedia;
Films cultes;Le Parrain 2;Le Parrain, 2e partie;Parrain 2;excel-brut;X
Films cultes;Orange mecanique;Orange mécanique;Orange mécanique;wikipedia;
Films cultes;L'Exorciste;L'Exorciste (film);Exorciste;wikipedia;
Films cultes;Les Dents de la mer;Les Dents de la mer;Dents de la mer;wikipedia;
Films cultes;Star Wars (episode IV);Star Wars, épisode IV : Un nouvel espoir;Star Wars;excel-brut;X
Films cultes;Rencontres du troisieme type;Rencontres du troisième type;Rencontres du troisième type;wikipedia;
Films cultes;Apocalypse Now;Apocalypse Now;Apocalypse Now;wikipedia;
Films cultes;Rocky (film);Rocky (film);Rocky;wikipedia;
Films cultes;Taxi Driver;Taxi Driver;Taxi Driver;wikipedia;
Films cultes;Alien (film);Alien (film);Alien;wikipedia;
Films cultes;E.T. l'extra-terrestre;E.T., l'extra-terrestre;E.T., l'extra-terrestre;wikipedia;
Films cultes;Blade Runner;Blade Runner (film);Blade Runner;wikipedia;
Films cultes;Retour vers le futur;Retour vers le futur;Retour vers le futur;wikipedia;
Films cultes;Les Aventuriers de l'arche perdue;Les Aventuriers de l'arche perdue;Aventuriers de l'arche perdue;wikipedia;
Films cultes;Terminator;Terminator;Terminator;wikipedia;
Films cultes;Ghostbusters;SOS Fantômes;Ghostbusters;excel-brut;X
Films cultes;Die Hard;Die Hard;Die Hard;wikipedia;
Films cultes;Batman (1989);Batman (film, 1989);Batman;excel-brut;X
Films cultes;Le Cercle des poetes disparus;Le Cercle des poètes disparus;Cercle des poètes disparus;wikipedia;
Films cultes;Dirty Dancing;Dirty Dancing;Dirty Dancing;wikipedia;
Films cultes;Top Gun;Top Gun (film);Top Gun;wikipedia;
Films cultes;Pulp Fiction;Pulp Fiction;Pulp Fiction;wikipedia;
Films cultes;Le Silence des agneaux;Le Silence des agneaux (film);Silence des agneaux;wikipedia;
Films cultes;Forrest Gump;Forrest Gump;Forrest Gump;wikipedia;
Films cultes;Le Roi Lion;Le Roi lion;Roi lion;wikipedia;
Films cultes;Jurassic Park;Jurassic Park;Jurassic Park;wikipedia;
Films cultes;Titanic (film, 1997);Titanic (film, 1997);Titanic;wikipedia;
Films cultes;Matrix;Matrix (film);Matrix;wikipedia;
Films cultes;Fight Club;Fight Club (film);Fight Club;wikipedia;
Films cultes;Se7en;Se7en (chanteur);Se7en;wikipedia;
Films cultes;Usual Suspects;Usual Suspects;Usual Suspects;wikipedia;
Films cultes;American Beauty;American Beauty;American Beauty;wikipedia;
Films cultes;Il faut sauver le soldat Ryan;Il faut sauver le soldat Ryan;Il faut sauver le soldat Ryan;wikipedia;
Films cultes;Leon;Léon (film);Léon;wikipedia;
Films cultes;La Liste de Schindler;La Liste de Schindler;Liste de Schindler;wikipedia;
Films cultes;Le Grand Bleu;Le Grand Bleu;Grand Bleu;wikipedia;
Films cultes;Trainspotting;Trainspotting (film);Trainspotting;wikipedia;
Films cultes;Le Seigneur des Anneaux (trilogie);Le Seigneur des anneaux (série de films);Seigneur des Anneaux;excel-brut;X
Films cultes;Le Fabuleux Destin d'Amelie Poulain;Le Fabuleux Destin d'Amélie Poulain;Fabuleux Destin d'Amélie Poulain;wikipedia;
Films cultes;Gladiator (film);Gladiator (film, 2000);Gladiator;excel-brut;X
Films cultes;Requiem for a Dream;Requiem for a Dream;Requiem for a Dream;wikipedia;
Films cultes;Old Boy;Old Boy (film, 2003);Old Boy;wikipedia;
Films cultes;Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;wikipedia;
Films cultes;No Country for Old Men;No Country for Old Men;No Country for Old Men;wikipedia;
Films cultes;There Will Be Blood;There Will Be Blood;There Will Be Blood;wikipedia;
Films cultes;The Dark Knight;The Dark Knight : Le Chevalier noir;The Dark Knight;excel-brut;X
Films cultes;Pan's Labyrinth;Le Labyrinthe de Pan;Pan's Labyrinth;excel-brut;X
Films cultes;WALL-E;WALL-E;WALL-E;wikipedia;
Films cultes;Inglourious Basterds;Inglourious Basterds;Inglourious Basterds;wikipedia;
Films cultes;Inception;Inception;Inception;wikipedia;
Films cultes;Interstellar;Interstellar;Interstellar;wikipedia;
Films cultes;Whiplash (film);Whiplash (film, 2014);Whiplash;excel-brut;X
Films cultes;La La Land;La La Land (film);La Land;wikipedia;
Films cultes;Mad Max: Fury Road;Mad Max: Fury Road;Mad Max: Fury Road;wikipedia;
Films cultes;Parasite (film);Parasite (film, 2019);Parasite;excel-brut;X
Films cultes;Get Out (film);Get Out (film);Get Out;wikipedia;
Films cultes;Blade Runner 2049;Blade Runner 2049;Blade Runner 2049;wikipedia;
Films cultes;Dunkerque;Dunkerque (film, 2017);Dunkerque;wikipedia;
Films cultes;Her (film);Her (film);Her;wikipedia;
Films cultes;Django Unchained;Django Unchained;Django Unchained;wikipedia;
Films cultes;Gravity (film);Gravity (film);Gravity;wikipedia;
Films cultes;The Grand Budapest Hotel;The Grand Budapest Hotel;The Grand Budapest Hotel;wikipedia;
Films cultes;Moonlight (film);Moonlight (film, 2016);Moonlight;excel-brut;X
Films cultes;Joker (film);Joker (film, 2019);Joker;excel-brut;X
Films cultes;Everything Everywhere All at Once;Everything Everywhere All at Once;Everything Everywhere All at Once;wikipedia;
Films cultes;Oppenheimer;Oppenheimer (film);Oppenheimer;wikipedia;
Films cultes;Dune (2021);Dune (film, 2021);Dune;excel-brut;X
Films cultes;The Batman (2022);The Batman;The Batman;excel-brut;X
Films cultes;Mon voisin Totoro;Mon voisin Totoro;Mon voisin Totoro;wikipedia;
Films cultes;Princesse Mononoke;Princesse Mononoké;Princesse Mononoké;wikipedia;
Films cultes;Le Voyage de Chihiro;Le Voyage de Chihiro;Voyage de Chihiro;wikipedia;
Films cultes;Le Chateau ambulant;Le Château ambulant;Château ambulant;wikipedia;
Films cultes;Le Chateau dans le ciel;Le Château dans le ciel;Château dans le ciel;wikipedia;
Films cultes;Les 400 Coups;Les Quatre Cents Coups;400 coups;wikipedia;
Films cultes;Rashomon;Rashōmon (film, 1950);Rashōmon;wikipedia;
Films cultes;La Dolce Vita;La dolce vita;Dolce vita;wikipedia;
Films cultes;8 1/2;Huit et demi;8 1/2;excel-brut;X
Films cultes;Amarcord;Amarcord;Amarcord;wikipedia;
Films cultes;Solaris (film, 1972);Solaris (film, 1972);Solaris;wikipedia;
Films cultes;Andrei Roublev;Andreï Roublev (film);Andreï Roublev;wikipedia;
Films cultes;Tokyo Story;Voyage à Tokyo;Tokyo Story;excel-brut;X
Films cultes;Vivre (film, 1952);Vivre (film, 1952);Vivre;wikipedia;
Films cultes;La Bataille d'Alger;La Bataille d'Alger;Bataille d'Alger;wikipedia;
Films cultes;La Haine;La Haine;Haine;wikipedia;
Films cultes;Amores Perros;Amours chiennes;Amores Perros;excel-brut;X
Films cultes;La Vie d'Adele;La Vie d'Adèle : Chapitres 1 et 2;Vie d'Adele;excel-brut;X
Films cultes;The Truman Show;The Truman Show;The Truman Show;wikipedia;
Films cultes;Gone Girl;Gone Girl;Gone Girl;wikipedia;
Films cultes;Zodiac (film);Zodiac (film);Zodiac;wikipedia;
Films cultes;The Social Network;The Social Network;The Social Network;wikipedia;
Films cultes;The Handmaiden;Mademoiselle (film, 2016);The Handmaiden;excel-brut;X
Films cultes;Memories of Murder;Memories of Murder;Memories of Murder;wikipedia;
Films cultes;Train to Busan;Dernier train pour Busan;Train to Busan;excel-brut;X
